customer_id,customer_age,customer_region,customer_tenure_months,order_id,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,nps_score,repeat_purchase_30d,complaints_count,csat_internal_score,categoria_nps,log_order_value,log_discount_value,houve_recompra_30d
1,63,Nordeste,14,50001,139.72999999999999,4,39.350000000000001,4,2,2,55.530000000000001,3,0,4,6.9000000000000004,0,3,6.5,detrator,4.9468431610084762,3.6975913947159578,0
2,20,Sul,1,50002,458.94999999999999,2,9.5099999999999998,10,6,4,28.23,3,0,10,2.3999999999999999,0,3,0,detrator,6.1311177879231664,2.3523271848888596,0
3,46,Nordeste,111,50003,507.06,5,42.82,6,6,1,40.990000000000002,1,4,5,4.7999999999999998,0,7,1.5,detrator,6.2305995508402372,3.7800903341673204,0
4,52,Centro-Oeste,117,50004,302.19,2,19.579999999999998,9,5,2,35.240000000000002,3,1,11,5.9000000000000004,0,4,0.29999999999999999,detrator,5.7143596716939706,3.0243197304059035,0
5,56,Norte,50,50005,253.06,1,29.370000000000001,11,13,1,39.32,1,1,0,6.0999999999999996,0,3,7.9000000000000004,detrator,5.5375704595953144,3.4134552790576573,0
6,35,Sudeste,75,50006,568.75999999999999,6,36.579999999999998,3,4,5,41.82,2,2,3,0.90000000000000002,0,5,1.5,detrator,6.345215219529468,3.6264719939853194,0
7,37,Sudeste,68,50007,41.289999999999999,3,99.620000000000005,6,8,3,35.829999999999998,3,3,4,1.3999999999999999,0,6,0.59999999999999998,detrator,3.7445506514843974,4.6113510450631727,0
8,60,Sul,37,50008,428.75999999999999,4,29.539999999999999,10,11,5,44.5,1,0,2,0,0,2,4.0999999999999996,detrator,6.0632269133348728,3.4190372997904865,0
9,40,Sul,60,50009,121.56,3,91.950000000000003,6,6,3,24.879999999999999,2,1,9,6.2000000000000002,0,3,0.80000000000000004,detrator,4.8086007059922808,4.5320617141674528,0
10,51,Sudeste,70,50010,411.00999999999999,6,37.469999999999999,3,9,2,30.59,1,0,7,2.7000000000000002,0,2,4.2000000000000002,detrator,6.0210476208996297,3.6498787167642037,0
11,50,Centro-Oeste,28,50011,616.16999999999996,2,23,8,4,2,52.939999999999998,3,0,7,5.2999999999999998,0,6,2.7000000000000002,detrator,6.4251445126971669,3.1780538303479458,0
12,67,Norte,81,50012,509.48000000000002,2,10.42,1,11,1,46.920000000000002,2,1,3,7,0,2,5.7999999999999998,neutro,6.2353514595600918,2.4353662042278641,0
13,65,Centro-Oeste,85,50013,588.27999999999997,6,12.539999999999999,5,11,2,28.670000000000002,2,1,9,3.7000000000000002,0,4,0.40000000000000002,detrator,6.3789014526967556,2.605648267484129,0
